"Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","HS","AS","HST","AST","HF","AF","HC","AC","HY","AY","HR","AR","B365H","B365D","B365A","B365CH","B365CD","B365CA"
"20/12/2024","Eyupspor","Fenerbahce","1","1","D","1","1","D","13","14","3","9","12","10","3","9","6","4","0","0","5","4.5","1.55","5.25","4.33","1.55"
"21/12/2024","Sivasspor","Samsunspor","0","0","D","0","0","D","10","17","2","6","9","14","2","10","4","3","1","0","3.75","3.5","1.95","3.4","3.5","2.1"
"21/12/2024","Besiktas","Alanyaspor","1","1","D","1","1","D","12","9","5","1","16","16","6","7","1","2","0","0","1.67","4","4.5","1.73","3.8","4.5"
"22/12/2024","Gaziantep","Antalyaspor","2","0","H","1","0","H","20","8","7","1","13","12","4","3","1","4","0","1","2.15","3.4","3.25","1.95","3.6","3.75"
"22/12/2024","Goztep","Rizespor","3","0","H","1","0","H","16","11","5","2","12","16","3","5","0","0","0","0","2.05","3.3","3.7","2.2","3.25","3.3"
"22/12/2024","Kayserispor","Galatasaray","1","5","A","1","2","A","15","20","6","11","7","5","7","7","1","0","0","0","7.5","5","1.36","7.5","5.25","1.36"
"22/12/2024","Trabzonspor","Bodrumspor","1","0","H","0","0","D","14","12","5","5","16","12","8","4","4","2","0","0","1.57","3.9","5.5","1.73","3.6","4.75"
"23/12/2024","Buyuksehyr","Kasimpasa","2","2","D","2","1","H","19","13","8","4","17","19","4","4","2","4","0","0","2.05","3.4","3.3","2.2","3.4","2.9"
"23/12/2024","Hatayspor","Ad. Demirspor","1","3","A","1","0","H","15","12","7","3","13","9","4","6","5","3","1","0","1.6","4","4.33","1.4","4.75","5.5"
"03/01/2025","Alanyaspor","Konyaspor","2","1","H","1","0","H","12","8","6","3","17","15","7","2","3","4","0","0","2.05","3.25","3.5","2.05","3.3","3.3"
"03/01/2025","Rizespor","Besiktas","1","1","D","1","1","D","21","9","5","2","17","15","6","2","4","2","0","0","2.5","3.4","2.5","2.38","3.5","2.55"
"04/01/2025","Ad. Demirspor","Buyuksehyr","0","1","A","0","1","A","10","11","2","6","6","12","3","3","0","5","0","0","4.75","4","1.57","4.5","4","1.6"
"04/01/2025","Antalyaspor","Eyupspor","1","4","A","0","3","A","22","15","8","6","13","5","11","4","2","3","0","0","2.4","3.4","2.63","2.75","3.3","2.35"
"04/01/2025","Galatasaray","Goztep","2","1","H","1","1","D","11","7","3","2","12","15","9","4","1","2","0","0","1.33","5.5","7","1.29","5.75","7.5"
"04/01/2025","Samsunspor","Trabzonspor","2","1","H","1","0","H","9","14","3","5","7","8","2","8","1","1","0","0","2.1","3.5","3.2","2.25","3.4","2.88"
"05/01/2025","Kasimpasa","Gaziantep","2","2","D","2","1","H","17","9","4","5","11","11","7","2","3","4","0","0","1.8","3.7","3.9","1.62","4","4.75"
"05/01/2025","Bodrumspor","Kayserispor","1","1","D","0","0","D","14","8","4","3","10","13","6","6","2","4","0","0","2.1","3.2","3.4","2","3.2","3.7"
